"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"218552099";"4000   ";"12400";"A043055";"1012600";"GM1891";"2019SJ00";"       1"
"218552119";"4000   ";"12400";"A043055";"1012600";"GM0503";"2019SJ00";"      77"
"218552139";"4000   ";"12400";"A043055";"1012600";"GM0010";"2019SJ00";"       0"
"218552159";"4000   ";"12400";"A043055";"1012600";"GM0149";"2019SJ00";""
"218552179";"4000   ";"12400";"A043055";"1012600";"GM0762";"2019SJ00";"       2"
"218552199";"4000   ";"12400";"A043055";"1012600";"GM0150";"2019SJ00";"       6"
"218552219";"4000   ";"12400";"A043055";"1012600";"GM0218";"2019SJ00";""
"218552239";"4000   ";"12400";"A043055";"1012600";"GM0384";"2019SJ00";"      11"
"218552259";"4000   ";"12400";"A043055";"1012600";"GM0151";"2019SJ00";""
"218552279";"4000   ";"12400";"A043055";"1012600";"GM1774";"2019SJ00";"       4"
"218552299";"4000   ";"12400";"A043055";"1012600";"GM0219";"2019SJ00";""
"218552319";"4000   ";"12400";"A043055";"1012600";"GM0504";"2019SJ00";""
"218552339";"4000   ";"12400";"A043055";"1012600";"GM0220";"2019SJ00";""
"218552359";"4000   ";"12400";"A043055";"1012600";"GM0221";"2019SJ00";"       0"
"218552379";"4000   ";"12400";"A043055";"1012600";"GM0222";"2019SJ00";"       2"
"218552399";"4000   ";"12400";"A043055";"1012600";"GM0766";"2019SJ00";"       0"
"218552419";"4000   ";"12400";"A043055";"1012600";"GM0058";"2019SJ00";""
"218552439";"4000   ";"12400";"A043055";"1012600";"GM0315";"2019SJ00";""
"218552459";"4000   ";"12400";"A043055";"1012600";"GM0505";"2019SJ00";"      12"
"218552479";"4000   ";"12400";"A043055";"1012600";"GM0498";"2019SJ00";"       2"
"218552499";"4000   ";"12400";"A043055";"1012600";"GM0316";"2019SJ00";""
"218552519";"4000   ";"12400";"A043055";"1012600";"GM1719";"2019SJ00";"       4"
"218552539";"4000   ";"12400";"A043055";"1012600";"GM0303";"2019SJ00";"       0"
"218552559";"4000   ";"12400";"A043055";"1012600";"GM0225";"2019SJ00";"       1"
"218552579";"4000   ";"12400";"A043055";"1012600";"GM0226";"2019SJ00";"       1"
"218552599";"4000   ";"12400";"A043055";"1012600";"GM0902";"2019SJ00";""
"218552619";"4000   ";"12400";"A043055";"1012600";"GM0227";"2019SJ00";""
"218552639";"4000   ";"12400";"A043055";"1012600";"GM1711";"2019SJ00";"       4"
"218552659";"4000   ";"12400";"A043055";"1012600";"GM0385";"2019SJ00";"       2"
"218552679";"4000   ";"12400";"A043055";"1012600";"GM0228";"2019SJ00";"      21"
"218552699";"4000   ";"12400";"A043055";"1012600";"GM0317";"2019SJ00";"       1"
"218552719";"4000   ";"12400";"A043055";"1012600";"GM1651";"2019SJ00";""
"218552739";"4000   ";"12400";"A043055";"1012600";"GM0770";"2019SJ00";"       2"
"218552759";"4000   ";"12400";"A043055";"1012600";"GM0357";"2019SJ00";""
"218552779";"4000   ";"12400";"A043055";"1012600";"GM0229";"2019SJ00";""
"218552799";"4000   ";"12400";"A043055";"1012600";"GM0905";"2019SJ00";""
"218552819";"4000   ";"12400";"A043055";"1012600";"GM1903";"2019SJ00";"       1"
"218552839";"4000   ";"12400";"A043055";"1012600";"GM0772";"2019SJ00";"      74"
"218552859";"4000   ";"12400";"A043055";"1012600";"GM0230";"2019SJ00";"       0"
"218552879";"4000   ";"12400";"A043055";"1012600";"GM0231";"2019SJ00";""
"218552899";"4000   ";"12400";"A043055";"1012600";"GM0114";"2019SJ00";"       5"
"218552919";"4000   ";"12400";"A043055";"1012600";"GM0388";"2019SJ00";"       1"
"218552939";"4000   ";"12400";"A043055";"1012600";"GM0153";"2019SJ00";"      42"
"218552959";"4000   ";"12400";"A043055";"1012600";"GM0232";"2019SJ00";"       3"
"218552979";"4000   ";"12400";"A043055";"1012600";"GM0233";"2019SJ00";"       1"
"218552999";"4000   ";"12400";"A043055";"1012600";"GM0777";"2019SJ00";"       6"
"218553019";"4000   ";"12400";"A043055";"1012600";"GM1722";"2019SJ00";""
"218553039";"4000   ";"12400";"A043055";"1012600";"GM0070";"2019SJ00";""
"218553059";"4000   ";"12400";"A043055";"1012600";"GM1921";"2019SJ00";""
"218553079";"4000   ";"12400";"A043055";"1012600";"GM1940";"2019SJ00";"       0"
"218553099";"4000   ";"12400";"A043055";"1012600";"GM0653";"2019SJ00";""
"218553119";"4000   ";"12400";"A043055";"1012600";"GM0779";"2019SJ00";"       2"
"218553139";"4000   ";"12400";"A043055";"1012600";"GM0236";"2019SJ00";""
"218553159";"4000   ";"12400";"A043055";"1012600";"GM0781";"2019SJ00";""
"218553179";"4000   ";"12400";"A043055";"1012600";"GM1771";"2019SJ00";"       1"
"218553199";"4000   ";"12400";"A043055";"1012600";"GM0906";"2019SJ00";""
"218553219";"4000   ";"12400";"A043055";"1012600";"GM1652";"2019SJ00";"       1"
"218553239";"4000   ";"12400";"A043055";"1012600";"GM0237";"2019SJ00";""
"218553259";"4000   ";"12400";"A043055";"1012600";"GM0238";"2019SJ00";""
"218553279";"4000   ";"12400";"A043055";"1012600";"GM0154";"2019SJ00";""
"218553299";"4000   ";"12400";"A043055";"1012600";"GM0907";"2019SJ00";"       0"
"218553319";"4000   ";"12400";"A043055";"1012600";"GM0689";"2019SJ00";""
"218553339";"4000   ";"12400";"A043055";"1012600";"GM0784";"2019SJ00";"       1"
"218553359";"4000   ";"12400";"A043055";"1012600";"GM0511";"2019SJ00";""
"218553379";"4000   ";"12400";"A043055";"1012600";"GM1924";"2019SJ00";"       0"
"218553399";"4000   ";"12400";"A043055";"1012600";"GM0664";"2019SJ00";"       2"
"218553419";"4000   ";"12400";"A043055";"1012600";"GM0785";"2019SJ00";"       1"
"218553439";"4000   ";"12400";"A043055";"1012600";"GM1942";"2019SJ00";"       3"
"218553459";"4000   ";"12400";"A043055";"1012600";"GM0156";"2019SJ00";""
"218553479";"4000   ";"12400";"A043055";"1012600";"GM0512";"2019SJ00";"       2"
"218553499";"4000   ";"12400";"A043055";"1012600";"GM0239";"2019SJ00";""
"218553519";"4000   ";"12400";"A043055";"1012600";"GM0513";"2019SJ00";"      10"
"218553539";"4000   ";"12400";"A043055";"1012600";"GM0693";"2019SJ00";""
"218553559";"4000   ";"12400";"A043055";"1012600";"GM0365";"2019SJ00";""
"218553579";"4000   ";"12400";"A043055";"1012600";"GM0157";"2019SJ00";""
"218553599";"4000   ";"12400";"A043055";"1012600";"GM0786";"2019SJ00";"       1"
"218553619";"4000   ";"12400";"A043055";"1012600";"GM0390";"2019SJ00";""
"218553639";"4000   ";"12400";"A043055";"1012600";"GM0517";"2019SJ00";""
"218553659";"4000   ";"12400";"A043055";"1012600";"GM0518";"2019SJ00";"      61"
"218553679";"4000   ";"12400";"A043055";"1012600";"GM0519";"2019SJ00";""
"218553699";"4000   ";"12400";"A043055";"1012600";"GM0240";"2019SJ00";""
"218553719";"4000   ";"12400";"A043055";"1012600";"GM0241";"2019SJ00";""
"218553739";"4000   ";"12400";"A043055";"1012600";"GM0014";"2019SJ00";"     203"
"218553759";"4000   ";"12400";"A043055";"1012600";"GM0015";"2019SJ00";""
"218553779";"4000   ";"12400";"A043055";"1012600";"GM0912";"2019SJ00";""
"218553799";"4000   ";"12400";"A043055";"1012600";"GM1729";"2019SJ00";"       2"
"218553819";"4000   ";"12400";"A043055";"1012600";"GM0158";"2019SJ00";"       2"
